name,normalized_name,id
ramp,ramp,1390
ramp,ramp,1391
ramp,ramp,1392
ramp,ramp,1393
ramp,ramp,1394
ramp,ramp,1395
stairs,stairs,1396
mystic flame,mysticflame,1397
ramp,ramp,1398
ramp,ramp,1399
ramp,ramp,1400
ramp,ramp,1401
ramp,ramp,1402
ramp,ramp,1403
ramp,ramp,1404
ramp,ramp,1405
grave,grave,1406
gravestone,gravestone,1407-1409
stone coffin,stonecoffin,1410
stone coffin,stonecoffin,1411
stone coffin,stonecoffin,1412-1414
buried coffin,buriedcoffin,1415-1416
sarcophagus,sarcophagus,1417
sarcophagus,sarcophagus,1418
sarcophagus,sarcophagus,1419
sarcophagus,sarcophagus,1420
campfire,campfire,1421-1422
campfire,campfire,1423-1425
unlit campfire,unlitcampfire,1426
campfire,campfire,1427-1428
sign,sign,1429-1434
dragon flag,dragonflag,1435
castle flag,castleflag,1436
flag of Tibia,flagoftibia,1437
street sign,streetsign,1438-1439
sign,sign,1440-1441
knight statue,knightstatue,1442
knight statue,knightstatue,1443
hero statue,herostatue,1444
monument,monument,1445
minotaur statue,minotaurstatue,1446
goblin statue,goblinstatue,1447
angel statue,angelstatue,1448
dwarven statue,dwarvenstatue,1449
watchdog statue,watchdogstatue,1450
sandstone statue,sandstonestatue,1451
gargoyle statue,gargoylestatue,1452-1455
pedestal,pedestal,1456-1459
minotaur statue,minotaurstatue,1460
minotaur statue,minotaurstatue,1461
minotaur statue,minotaurstatue,1462
goblin statue,goblinstatue,1463
goblin statue,goblinstatue,1464
goblin statue,goblinstatue,1465
pedestal,pedestal,1466
cobra statue,cobrastatue,1467-1468
pedestal,pedestal,1469
cobra statue,cobrastatue,1470-1475
knight statue,knightstatue,1476
knight statue,knightstatue,1477
knight statue,knightstatue,1478
street lamp,streetlamp,1479
street lamp,streetlamp,1480
coal basin,coalbasin,1481-1485
stone coal basin,stonecoalbasin,1486
fire field,firefield,1487
fire field,firefield,1488
fire field,firefield,1489
poison field,poisonfield,1490
energy field,energyfield,1491
fire field,firefield,1492
fire field,firefield,1493
fire field,firefield,1494
energy field,energyfield,1495
poison field,poisonfield,1496
magic wall,magicwall,1497
magic wall,magicwall,1498
rush wood,rushwood,1499
fire field,firefield,1500
fire field,firefield,1501
fire field,firefield,1502
poison gas,poisongas,1503
energy field,energyfield,1504
smoke,smoke,1505
searing fire,searingfire,1506
searing fire,searingfire,1507
ashes,ashes,1508
lava,lava,1509
slits,slits,1510
blades,blades,1511
holes,holes,1512
spikes,spikes,1513
pillar,pillar,1514
marble pillar,marblepillar,1515
wooden railing,woodenrailing,1516-1523
stone railing,stonerailing,1524-1532
fence,fence,1533-1538
closed fence gate,closedfencegate,1539
open fence gate,openfencegate,1540
closed fence gate,closedfencegate,1541
open fence gate,openfencegate,1542
fence,fence,1543-1547
strange carving,strangecarving,1548
sandstone pillar,sandstonepillar,1549
sandstone statue,sandstonestatue,1550
oriental pillar,orientalpillar,1551
ramp,ramp,1552
ramp,ramp,1553
ramp,ramp,1554
ramp,ramp,1555
ramp,ramp,1556
ramp,ramp,1557
ramp,ramp,1558
ramp,ramp,1559
obelisk,obelisk,1560
broken obelisk,brokenobelisk,1561
sandstone railing,sandstonerailing,1562-1577
sandstone,sandstone,1578-1581
white stone railing,whitestonerailing,1582-1593
metal railing,metalrailing,1594-1601
big table,bigtable,1602-1614
square table,squaretable,1615
small round table,smallroundtable,1616
counter,counter,1617-1618
small table,smalltable,1619
counter,counter,1620-1621
table,table,1622-1633
table,table,1634
table,table,1635
table,table,1636
table,table,1637
table,table,1638
table,table,1639
table,table,1640
table,table,1641
altar stone,altarstone,1642-1645
throne,throne,1646-1649
wooden chair,woodenchair,1650
wooden chair,woodenchair,1651
wooden chair,woodenchair,1652
wooden chair,woodenchair,1653
removal bed,removalbed,8324
royal closet,royalcloset,8250
royal closet,royalcloset,8251
royal chair,royalchair,8246
royal chair,royalchair,8247
royal chair,royalchair,8244
royal chair,royalchair,8245
throne,throne,1654-1657
sofa chair,sofachair,1658
sofa chair,sofachair,1659
sofa chair,sofachair,1660
sofa chair,sofachair,1661
bench,bench,1662-1665
red cushioned chair,redcushionedchair,1666
red cushioned chair,redcushionedchair,1667
red cushioned chair,redcushionedchair,1668
red cushioned chair,redcushionedchair,1669
green cushioned chair,greencushionedchair,1670
green cushioned chair,greencushionedchair,1671
green cushioned chair,greencushionedchair,1672
green cushioned chair,greencushionedchair,1673
rocking chair,rockingchair,1674
rocking chair,rockingchair,1675
rocking chair,rockingchair,1676
rocking chair,rockingchair,1677
small purple pillow,smallpurplepillow,1678
small green pillow,smallgreenpillow,1679
small red pillow,smallredpillow,1680
small blue pillow,smallbluepillow,1681
small orange pillow,smallorangepillow,1682
small turquoise pillow,smallturquoisepillow,1683
small white pillow,smallwhitepillow,1684
heart pillow,heartpillow,1685
blue pillow,bluepillow,1686
red pillow,redpillow,1687
green pillow,greenpillow,1688
yellow pillow,yellowpillow,1689
round blue pillow,roundbluepillow,1690
round red pillow,roundredpillow,1691
round purple pillow,roundpurplepillow,1692
round turquoise pillow,roundturquoisepillow,1693
sofa,sofa,1694-1709
wardrobe,wardrobe,1710-1713
drawers,drawers,1714
drawers,drawers,1715
drawers,drawers,1716
drawers,drawers,1717
bookcase,bookcase,1718-1723
dresser,dresser,1724
dresser,dresser,1725
dresser,dresser,1726
dresser,dresser,1727
pendulum clock,pendulumclock,1728
pendulum clock,pendulumclock,1729
pendulum clock,pendulumclock,1730
pendulum clock,pendulumclock,1731
locker,locker,1732
locker,locker,1733
locker,locker,1734
locker,locker,1735
standing mirror,standingmirror,1736
standing mirror,standingmirror,1737
box,box,1738
crate,crate,1739
chest,chest,1740
golden outfit pieces,goldenoutfitpieces,8320
golden chest,goldenchest,8317
golden chest,goldenchest,8318
imperium chest,imperiumchest,8314
plate chest,platechest,8222
plate chest,platechest,8223
heart of solebra,heartofsolebra,8308
stuffed dragon,stuffeddragon,8306
furious chest,furiouschest,8304
furious chest,furiouschest,8305
royal chest,royalchest,8252
royal chest,royalchest,8254
royal chest,royalchest,8253
royal chest,royalchest,8255
box,box,1741
wooden coffin,woodencoffin,1742
wooden coffin,woodencoffin,1743
wooden coffin,woodencoffin,1744
wooden coffin,woodencoffin,1745
treasure chest,treasurechest,1746
chest,chest,1747
chest,chest,1748
chest,chest,1749
large trunk,largetrunk,1750
large trunk,largetrunk,1751
large trunk,largetrunk,1752
large trunk,largetrunk,1753
bed,bed,8212
bed,bed,8213
bed,bed,8204
bed,bed,8205
bed,bed,8208
bed,bed,8209
bed,bed,8214
bed,bed,8215
bed,bed,8206
bed,bed,8207
bed,bed,8210
bed,bed,8211
bed,bed,8238
bed,bed,8239
bed,bed,8230
bed,bed,8231
bed,bed,8234
bed,bed,8235
bed,bed,8240
bed,bed,8241
bed,bed,8232
bed,bed,8233
bed,bed,8236
bed,bed,8237
bed,bed,8261
bed,bed,8262
bed,bed,8257
bed,bed,8258
bed,bed,8263
bed,bed,8264
bed,bed,8259
bed,bed,8260
bed,bed,1754
bed,bed,1755
cot,cot,1756
cot,cot,1757
cot,cot,1758
cot,cot,1759
bed,bed,1760
bed,bed,1761
bed,bed,1762
bed,bed,1763
bed,bed,1764
bed,bed,1765
cot,cot,1766
cot,cot,1767
cot,cot,1768
cot,cot,1769
barrel,barrel,1770
cask of brown ale,caskofbrownale,1771
water cask,watercask,1772
lemonade cask,lemonadecask,1773
barrel,barrel,1774
trough,trough,1775
wine cask,winecask,1776
dustbin,dustbin,1777
big wine cask,bigwinecask,1778-1785
oven,oven,1786
oven,oven,1787
oven,oven,1788
oven,oven,1789
oven,oven,1790
oven,oven,1791
oven,oven,1792
oven,oven,1793
red carpet,redcarpet,1794-1802
oriental carpet,orientalcarpet,1803-1808
painting,painting,1809
blackboard,blackboard,1810
blackboard,blackboard,1811
tapestry,tapestry,1812-1813
painting,painting,1814
blackboard,blackboard,1815
mirror,mirror,1816-1817
blackboard,blackboard,1818
banner,banner,1819
emblem,emblem,1820
banner,banner,1821-1824
painting,painting,1825-1828
scarab ornament ,scarabornament,1829-1830
picture,picture,1831-1832
painting,painting,1833-1834
picture,picture,1835-1836
picture,picture,1837-1842
wall mirror,wallmirror,1843-1844
wall mirror,wallmirror,1845
edged mirror,edgedmirror,1846-1847
edged mirror,edgedmirror,1848
wall mirror,wallmirror,1849-1850
wall mirror,wallmirror,1851
picture,picture,1852-1854
purple tapestry,purpletapestry,1855-1856
purple tapestry,purpletapestry,1857
green tapestry,greentapestry,1858-1859
green tapestry,greentapestry,1860
yellow tapestry,yellowtapestry,1861-1862
yellow tapestry,yellowtapestry,1863
orange tapestry,orangetapestry,1864-1865
orange tapestry,orangetapestry,1866
red tapestry,redtapestry,1867-1868
red tapestry,redtapestry,1869
blue tapestry,bluetapestry,1870-1871
blue tapestry,bluetapestry,1872
demon trophy,demontrophy,8173-8174
market,market,8171
cuckoo clock,cuckooclock,1873
cuckoo clock,cuckooclock,1874
cuckoo clock,cuckooclock,1875
cuckoo clock,cuckooclock,1876
cuckoo clock,cuckooclock,1877
white tapestry,whitetapestry,1878-1879
white tapestry,whitetapestry,1880
cuckoo clock,cuckooclock,1881
demonn trophy,demonntrophy,1882-1883
wolf trophy,wolftrophy,1884-1885
orc trophy,orctrophy,1886-1887
behemnot trophy,behemnottrophy,1888-1889
deer trophy,deertrophy,1890-1891
cyclops trophy,cyclopstrophy,1892-1893
dragon trophy,dragontrophy,1894-1895
lion trophy,liontrophy,1896-1897
minotaur trophy,minotaurtrophy,1898-1899
bloodspot,bloodspot,1900-1905
cobwebs,cobwebs,1906-1908
flowery wall,flowerywall,1909-1920
mossy wall,mossywall,1921-1933
mossy wall,mossywall,1935-1937
mossy wall,mossywall,1939-1944
switch,switch,1945
switch,switch,1946
bear statue,bearstatue,8224
bear statue,bearstatue,8225
swamp plant,swampplant,8256
bear puff,bearpuff,8226
bear puff,bearpuff,8227
pendal book,pendalbook,8302
pendal book,pendalbook,8303
white camource,whitecamource,8228
white camource,whitecamource,8229
balls tapestry,ballstapestry,8296
balls tapestry,ballstapestry,8297
cub tapestry,cubtapestry,8298
cub tapestry,cubtapestry,8299
flowers camource,flowerscamource,8300
flowers camource,flowerscamource,8301
white camource,whitecamource,8199
white camource,whitecamource,8198
brown camource,browncamource,8200
brown camource,browncamource,8201
bear tapestry,beartapestry,8202
bear tapestry,beartapestry,8203
gold tapestry,goldtapestry,8179
gold tapestry,goldtapestry,8180
tapestry,tapestry,8216
tapestry,tapestry,8217
tapestry,tapestry,8218
tapestry,tapestry,8219
tapestry,tapestry,8220
tapestry,tapestry,8221
skillow pet,skillowpet,8287
skillow pet,skillowpet,8288
dodge pet,dodgepet,8289
dodge pet,dodgepet,8290
aquarius pet,aquariuspet,8292
aquarius pet,aquariuspet,8293
fish pet,fishpet,8291
goldens cub,goldenscub,8294
golden box,goldenbox,8295
Dog pet,dogpet,8175
Dog pet,dogpet,8176
Dog pet,dogpet,8177
Dog pet,dogpet,8178
blank paper,blankpaper,1947
parchment,parchment,1948
scroll,scroll,1949
brown book,brownbook,1950
parchment,parchment,1951
document,document,1952
parchment,parchment,1953
paper,paper,1954
black book,blackbook,1955
map,map,1956
map,map,1957
grey small book,greysmallbook,1958
brown thin book,brownthinbook,1959
brown square book,brownsquarebook,1960
red square book,redsquarebook,1961
orange book,orangebook,1962
blue book,bluebook,1963
big blue demona book,bigbluedemonabook,1964
green book,greenbook,1965
great green book,greatgreenbook,1966
parchment,parchment,1967
document,document,1968
written parchment,writtenparchment,1969
holy tible,holytible,1970
Trophy Football Shivera ,trophyfootballshivera,8315
brown book,brownbook,1971
black book,blackbook,1972
grey small book,greysmallbook,1973
brown thin book,brownthinbook,1974
brown square book,brownsquarebook,1975
gemmed book,gemmedbook,1976
orange book,orangebook,1977
blue book,bluebook,1978
big blue demona book,bigbluedemonabook,1979
green book,greenbook,1980
fat green book,fatgreenbook,1981
purple tome,purpletome,1982
green tome,greentome,1983
blue tome,bluetome,1984
grey tome,greytome,1985
red tome,redtome,1986
bag,bag,1987
fur bag,furbag,8310
brocade bag,brocadebag,8312
backpack,backpack,1988
basket,basket,1989
present,present,1990
green bag,greenbag,1991
yellow bag,yellowbag,1992
red bag,redbag,1993
purple bag,purplebag,1994
blue bag,bluebag,1995
grey bag,greybag,1996
golden bag,goldenbag,1997
green backpack,greenbackpack,1998
yellow backpack,yellowbackpack,1999
red backpack,redbackpack,2000
purple backpack,purplebackpack,2001
blue backpack,bluebackpack,2002
grey backpack,greybackpack,2003
golden backpack,goldenbackpack,2004
crystal backpack,crystalbackpack,8307
fur backpack,furbackpack,8309
brocade backpack,brocadebackpack,8311
heart backpack,heartbackpack,8313
wolve backpack,wolvebackpack,8316
invocater backpack,invocaterbackpack,8321
bucket,bucket,2005
vial,vial,2006
bottle,bottle,2007
vase,vase,2008
green flask,greenflask,2009
broken bottle,brokenbottle,2010
elven vase,elvenvase,2011
mug,mug,2012
cup,cup,2013
jug,jug,2014
brown flask,brownflask,2015
pool,pool,2016
pool,pool,2017
pool,pool,2018
pool,pool,2019
pool,pool,2020
pool,pool,2021
broken bottle,brokenbottle,2022
amphora,amphora,2023
broken brown glass,brokenbrownglass,2024
pool,pool,2025
pool,pool,2026
pool,pool,2027
pool,pool,2028
pool,pool,2029
pool,pool,2030
waterskin,waterskin,2031
bowl,bowl,2032
golden mug,goldenmug,2033
large amphora,largeamphora,2034
plate,plate,2035
watch,watch,2036
wall lamp,walllamp,2037
lit wall lamp,litwalllamp,2038
wall lamp,walllamp,2039
lit wall lamp,litwalllamp,2040
candelabrum,candelabrum,2041
candelabrum,candelabrum,2042
used candelabrum,usedcandelabrum,2043
lamp,lamp,2044
lamp,lamp,2045
lamp,lamp,2046
candlestick,candlestick,2047
candlestick,candlestick,2048
candlestick,candlestick,2049
torch,torch,2050
torch,torch,2051
torch,torch,2052
torch,torch,2053
torch,torch,2054
torch,torch,2055
torch,torch,2056
candelabrum,candelabrum,2057
torch bearer,torchbearer,2058
lit torch bearer,littorchbearer,2059
torch bearer,torchbearer,2060
lit torch bearer,littorchbearer,2061
oil lamp,oillamp,2062
small oil lamp,smalloillamp,2063
table lamp,tablelamp,2064
table lamp,tablelamp,2065
wall lamp,walllamp,2066
wall lamp,walllamp,2067
wall lamp,walllamp,2068
wall lamp,walllamp,2069
wooden flute,woodenflute,2070
lyre,lyre,2071
lute,lute,2072
drum,drum,2073
panpipes,panpipes,2074
simple fanfare,simplefanfare,2075
fanfare,fanfare,2076
royal fanfare,royalfanfare,2077
post horn,posthorn,2078
horn,horn,2079
piano,piano,2080
piano,piano,2081
piano,piano,2082
piano,piano,2083
harp,harp,2084
harp,harp,2085
purple key,purplekey,2086
wooden key,woodenkey,2087
silver key,silverkey,2088
copper key,copperkey,2089
crystal key,crystalkey,2090
golden key,goldenkey,2091
bone key,bonekey,2092
water pipe,waterpipe,2093
birdcage,birdcage,2094
birdcage,birdcage,2095
pumpkinhead,pumpkinhead,2096
pumpkinhead,pumpkinhead,2097
globe,globe,2098
water pipe,waterpipe,2099
god flowers,godflowers,2100
indoor plant,indoorplant,2101
flower bowl,flowerbowl,2102
honey flower,honeyflower,2103
potted flower,pottedflower,2104
christmas tree,christmastree,2105
big flowerpot,bigflowerpot,2106
exotic flowers,exoticflowers,2107
wooden doll,woodendoll,2108
football,football,2109
doll,doll,2110
snowball,snowball,2111
teddy bear,teddybear,2112
model ship,modelship,2113
piggy bank,piggybank,2114
broken piggy bank,brokenpiggybank,2115
rocking horse,rockinghorse,2116
rocking horse,rockinghorse,2117
rocking horse,rockinghorse,2118
rocking horse,rockinghorse,2119
rope,rope,2120
wedding ring,weddingring,2121
elven brooch,elvenbrooch,2122
ring of the sky,ringofthesky,2123
crystal ring,crystalring,2124
crystal necklace,crystalnecklace,2125
bronze necklace,bronzenecklace,2126
emerald bangle,emeraldbangle,2127
crown,crown,2128
wolf tooth chain,wolftoothchain,2129
golden amulet,goldenamulet,2130
star amulet,staramulet,2131
silver necklace,silvernecklace,2132
ruby necklace,rubynecklace,2133
silver brooch,silverbrooch,2134
scarab amulet,scarabamulet,2135
demonbone amulet,demonboneamulet,2136
some golden fruits,somegoldenfruits,2137
sapphire amulet,sapphireamulet,2138
ancient tiara,ancienttiara,2139
holy scarab,holyscarab,2140
holy falcon,holyfalcon,2141
ancient amulet,ancientamulet,2142
white pearl,whitepearl,2143
black pearl,blackpearl,2144
small diamond,smalldiamond,2145
small sapphire,smallsapphire,2146
small ruby,smallruby,2147
gold coin,goldcoin,2148
abaddon coin,abaddoncoin,8425
small emerald,smallemerald,2149
small amethyst,smallamethyst,2150
talon,talon,2151
platinum coin,platinumcoin,2152
violet gem,violetgem,2153
yellow gem,yellowgem,2154
green gem,greengem,2155
red gem,redgem,2156
gold nugget,goldnugget,2157
blue gem,bluegem,2158
scarab coin,scarabcoin,2159
crystal coin,crystalcoin,2160
boss coin,bosscoin,8350
roulette coin,roulettecoin,8367
slotmachine coin,slotmachinecoin,8426
premium coin,premiumcoin,8351
strange talisman,strangetalisman,2161
magic lightwand,magiclightwand,2162
magic lightwand,magiclightwand,2163
might ring,mightring,2164
stealth ring,stealthring,2165
power ring,powerring,2166
energy ring,energyring,2167
life ring,lifering,2168
time ring,timering,2169
silver amulet,silveramulet,2170
platinum amulet,platinumamulet,2171
bronze amulet,bronzeamulet,2172
amulet of loss,amuletofloss,2173
strange symbol,strangesymbol,2174
spellbook,spellbook,2175
orb,orb,2176
life crystal,lifecrystal,2177
mind stone,mindstone,2178
gold ring,goldring,2179
orb of nature,orbofnature,2180
flask,flask,2181
golden wand,goldenwand,2182
elven wand,elvenwand,2183
crystal wand,crystalwand,2184
wand of might,wandofmight,2185
conjurer wand,conjurerwand,2186
ritual wand,ritualwand,2187
green spell wand,greenspellwand,2188
yellow spell wand,yellowspellwand,2189
blue spell wand,bluespellwand,2190
red spell wand,redspellwand,2191
crystal ball,crystalball,2192
ankh,ankh,2193
mysterious fetish,mysteriousfetish,2194
boots of haste,bootsofhaste,2195
broken amulet,brokenamulet,2196
stone skin amulet,stoneskinamulet,2197
elven amulet,elvenamulet,2198
garlic necklace,garlicnecklace,2199
protection amulet,protectionamulet,2200
dragon necklace,dragonnecklace,2201
stealth ring,stealthring,2202
power ring,powerring,2203
energy ring,energyring,2204
life ring,lifering,2205
time ring,timering,2206
sword ring,swordring,2207
axe ring,axering,2208
club ring,clubring,2209
sword ring,swordring,2210
axe ring,axering,2211
club ring,clubring,2212
dwarven ring,dwarvenring,2213
ring of healing,ringofhealing,2214
dwarven ring,dwarvenring,2215
ring of healing,ringofhealing,2216
spellbook,spellbook,2217
paw amulet,pawamulet,2218
banana skin,bananaskin,2219
dirty fur,dirtyfur,2220
old twig,oldtwig,2221
some wood,somewood,2222
rubbish,rubbish,2223-2224
piece of iron,pieceofiron,2225
fishbone,fishbone,2226
rotten meat,rottenmeat,2227
broken pottery,brokenpottery,2228
skull,skull,2229
bone,bone,2230
big bone,bigbone,2231
broken brown glass,brokenbrownglass,2232
broken green glass,brokengreenglass,2233
broken sword,brokensword,2234
mouldy cheese,mouldycheese,2235
torn book,tornbook,2236
dirty cape,dirtycape,2237
worn leather boots,wornleatherboots,2238
burnt scroll,burntscroll,2239
fish remains,fishremains,2240
rubbish,rubbish,2241
rubbish,rubbish,2242-2243
leaves,leaves,2244
twigs,twigs,2245
burnt down firewood,burntdownfirewood,2246
animal skull,animalskull,2247
humanoid remains,humanoidremains,2248
smoke,smoke,2249
wooden trash,woodentrash,2250-2255
metal trash,metaltrash,2256-2257
golden trash,goldentrash,2258
stone rubbish,stonerubbish,2259
blank rune,blankrune,2260
destroy field rune,destroyfieldrune,2261
energy bomb rune,energybombrune,2262
spell rune,spellrune,2263-2264
intense healing rune,intensehealingrune,2265
antidote rune,antidoterune,2266
spell rune,spellrune,2267
sudden death rune,suddendeathrune,2268
wild growth rune,wildgrowthrune,2269
spell rune,spellrune,2270
icicle rune,iciclerune,2271
spell rune,spellrune,2272
ultimate healing rune,ultimatehealingrune,2273
avalanche rune,avalancherune,2274
spell rune,spellrune,2275-2276
energy field rune,energyfieldrune,2277
paralyze rune,paralyzerune,2278
energy wall rune,energywallrune,2279
spell rune,spellrune,2280-2284
poison field rune,poisonfieldrune,2285
poison bomb rune,poisonbombrune,2286
light magic missile rune,lightmagicmissilerune,2287
stone shower rune,stoneshowerrune,2288
poison wall rune,poisonwallrune,2289
convince creature rune,convincecreaturerune,2290
chameleon rune,chameleonrune,2291
envenom rune,envenomrune,2292
magic wall rune,magicwallrune,2293
spell rune,spellrune,2294
holy missile rune,holymissilerune,2295
spell rune,spellrune,2296-2300
fire field rune,firefieldrune,2301
fireball rune,fireballrune,2302
fire wall rune,firewallrune,2303
great fireball rune,greatfireballrune,2304
firebomb rune,firebombrune,2305
spell rune,spellrune,2306-2307
soulfire rune,soulfirerune,2308
spell rune,spellrune,2309
desintegrate rune,desintegraterune,2310
heavy magic missile rune,heavymagicmissilerune,2311
spell rune,spellrune,2312
explosion rune,explosionrune,2313
spell rune,spellrune,2314
thunderstorm rune,thunderstormrune,2315
animate dead rune,animatedeadrune,2316
dead human,deadhuman,2317
family brooch,familybrooch,2318
dragonfetish,dragonfetish,2319
skull of ratha,skullofratha,2320
giant smithhammer,giantsmithhammer,2321
voodoo doll,voodoodoll,2322
hat of the mad,hatofthemad,2323
witchesbroom,witchesbroom,2324
black book,blackbook,2325
annihilation bear,annihilationbear,2326
blesseed ankh,blesseedankh,2327
blessed ankh,blessedankh,5807
egg,egg,2328
bill document,billdocument,2329
letterbag,letterbag,2330
present,present,2331
Waldo's post horn,waldo'sposthorn,2332
letter to Markwin,lettertomarkwin,2333
golden mailbox,goldenmailbox,8242
golden mailbox,goldenmailbox,8243
mailbox,mailbox,2334
helmet ornament,helmetornament,2335
